pelagios_temp_id;maphist_label;recogito_mapping;recogito_gazetteer_label;lat;lng;recogito_status;modified_by;modified_at;
835-1551;fiu rayet / roseti;http://www.wikidata.org/wiki/Q243699;RASID;31.4014;30.4194;VERIFIED;pau;2015-01-27T17:46:32+0100;
836-1552;casar bocher / bechieri;http://www.wikidata.org/wiki/Q139773;KANOPUS;31.3167;30.0667;VERIFIED;pau;2015-01-27T17:46:51+0100;
837-1556;ALEXANDRIA;http://www.wikidata.org/wiki/Q5303330;CENTRAL ALEXANDRIA OR DOWNTOWN ALEXANDRIA;31.1989;29.9017;VERIFIED;pau;2015-01-27T17:47:13+0100;
838-1560;tore de larabo;http://www.wikidata.org/wiki/Q1043090;BORG EL ARAB;30.9167;29.5333;VERIFIED;pau;2015-01-27T17:47:29+0100;
839-1561;g.de larabo / g.drabi;http://www.wikidata.org/wiki/Q1043090;BORG EL ARAB;30.9167;29.5333;VERIFIED;pau;2015-01-27T17:47:47+0100;
840-1562;caroberio;http://pleiades.stoa.org/places/716651;Zephyrion;31.0635;28.4563;VERIFIED;pau;2015-01-27T17:48:03+0100;
841-1563;ripe albe;http://pleiades.stoa.org/places/716641;Tracheia Akron;31.0921;28.1565;VERIFIED;pau;2015-01-27T17:48:21+0100;
842-1566;raiba;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T17:48:41+0100;
843-1566;g.de rasori;http://pleiades.stoa.org/places/716573;Hermaia Akron;31.247;27.8543;VERIFIED;pau;2015-01-27T17:48:52+0100;
844-1567;c./p.delarasa / rasamixar / raxa;http://pleiades.stoa.org/places/716573;Hermaia Akron;31.247;27.8543;VERIFIED;pau;2015-01-27T17:49:07+0100;
845-1568;i.de caleta;http://pleiades.stoa.org/places/716585;Ladamantia;31.19;27.6316;VERIFIED;pau;2015-01-27T17:49:24+0100;
846-1569;lagosegio;http://pleiades.stoa.org/places/716585;Ladamantia;31.19;27.6316;VERIFIED;pau;2015-01-27T17:49:41+0100;
847-1570;laguxi;http://www.wikidata.org/wiki/Q167780;ZAWIYET UMM EL-RAKHAM;31.3961;27.0439;VERIFIED;pau;2015-01-27T17:50:17+0100;
848-1570;p.albertom;http://pleiades.stoa.org/places/716626;Pythis/Artos Akron;31.364;27.3534;VERIFIED;pau;2015-01-27T17:50:29+0100;
849-1572;i.de colombi;http://pleiades.stoa.org/places/716642;Tyndareioi Inss.;31.5203;26.6392;VERIFIED;pau;2015-01-27T17:50:39+0100;
850-1573;carto / casaro;http://www.wikidata.org/wiki/Q393829;마르사 마트루;31.3333;27.2333;VERIFIED;pau;2015-01-27T17:50:56+0100;
851-1575;casales;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T17:51:12+0100;
852-1576;carse / tarsa;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T17:51:26+0100;
853-1577;p.de rameda;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T17:51:39+0100;
854-1578;p.salom;http://pleiades.stoa.org/places/716540;Catabathmus Maior/Plynos Limen/Tetrapyrgia;31.5527;25.1526;VERIFIED;pau;2015-01-27T17:51:56+0100;
855-1581;p.mosollomar;http://www.wikidata.org/wiki/Q141687;BARDIA;31.7667;25.1;VERIFIED;pau;2015-01-27T17:52:14+0100;
856-1582;c./p. de luch;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:09:15+0100;
857-1583;LUCHO;http://pleiades.stoa.org/places/716598;Marsa Lucch;31.9664;24.7499;VERIFIED;pau;2015-01-27T19:09:46+0100;
858-1584;p.trabuco;http://www.wikidata.org/wiki/Q182092;TOBRUK;32.0833;23.95;VERIFIED;pau;2015-01-27T19:09:58+0100;
859-1587;i./p.patriarcha;http://pleiades.stoa.org/places/716503;Aedonia Ins.;32.2346;23.2816;VERIFIED;pau;2015-01-27T19:10:18+0100;
860-1588;p.de barda;http://www.wikidata.org/wiki/Q1920408;MENELAUS PORTUS;32.3333;23.05;VERIFIED;pau;2015-01-27T19:10:28+0100;
861-1591;c.de rasaotin;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:11:01+0100;
862-1592;fanuara;http://www.wikidata.org/wiki/Q211866;DERNA;32.7667;22.6333;VERIFIED;pau;2015-01-27T19:11:10+0100;
863-1593;forceli;http://pleiades.stoa.org/places/344566;Wadi Umm el-Kharab;31.3164;15.2998;VERIFIED;pau;2015-01-27T19:11:39+0100;
864-1594;i.de carse;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:11:49+0100;
865-1595;BONANDREA;http://pleiades.stoa.org/places/375257;Untitled;32.9129;22.1688;VERIFIED;pau;2015-01-27T19:12:25+0100;
866-1597;marsa susa;http://pleiades.stoa.org/places/373732;Apollonia/Sozousa;32.9024;21.9705;VERIFIED;pau;2015-01-27T19:12:51+0100;
867-1598;flume;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:13:04+0100;
868-1601;c.de rasaocem;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:13:39+0100;
869-1604;zadra;http://www.wikidata.org/wiki/Q2217718;SHAHHAT;32.8278;21.8622;VERIFIED;pau;2015-01-27T19:13:51+0100;
870-1605;TOLOMETA;http://www.wikidata.org/wiki/Q510927;;32.7054;20.9447;VERIFIED;pau;2015-01-27T19:14:29+0100;
871-1606;tonacriti;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:14:50+0100;
872-1609;BERNICH;http://www.wikidata.org/wiki/Q40816;BENGAZIO SAVIVALDYBĖ;32.1167;20.0667;VERIFIED;pau;2015-01-27T19:15:13+0100;
873-1610;teiones;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:15:31+0100;
874-1612;carcora;http://pleiades.stoa.org/places/373782;Drepanon;31.4768;20.0139;VERIFIED;pau;2015-01-27T19:15:44+0100;
875-1614;sarabion;;;;;NO_SUITABLE_MATCH;pau;2015-01-27T19:15:57+0100;
